"","station","sample_mean","total_mean","sample_sd","total_sd","sample_std.error","total_std.error","easting","northing"
"1","B1",2,7.66666666666667,1,2.51661147842358,0.577350269189626,1.45296631451356,294432,3239364
"2","B10",2,3,1,1,0.577350269189626,0.577350269189626,295881,3238715
"3","B11",2,4.66666666666667,1,2.08166599946613,0.577350269189626,1.20185042515466,296825,3238004
"4","B12",2,5.33333333333333,1,0.577350269189626,0.577350269189626,0.333333333333333,297498,3236988
"5","B13",2,6.66666666666667,1,1.52752523165195,0.577350269189626,0.881917103688197,294437,3237981
"6","B14",2,13.6666666666667,1,2.08166599946613,0.577350269189626,1.20185042515466,295545,3236081
"7","B2",2,6.33333333333333,1,1.15470053837925,0.577350269189626,0.666666666666667,296319,3237017
"8","B3",2,7.33333333333333,1,1.15470053837925,0.577350269189626,0.666666666666667,296853,3235394
"9","B4",2,8,1,2.64575131106459,0.577350269189626,1.52752523165195,296657,3235300
"10","B5",2,3.33333333333333,1,1.52752523165195,0.577350269189626,0.881917103688197,295777,3237081
"11","B6",2,10,1,1,0.577350269189626,0.577350269189626,294201,3239292
"12","B7",2,6.66666666666667,1,2.51661147842358,0.577350269189626,1.45296631451356,296136,3239476
"13","B8",2,4.66666666666667,1,2.08166599946613,0.577350269189626,1.20185042515466,297806,3238300
"14","B9",2,8,1,1,0.577350269189626,0.577350269189626,297582,3235502
