station,date_dep,date_ret,date_prc,month,year,side,cnt,mx_mm1,mx_mm2,mx_mm3,barnacle,recorder,status,mult_rec,other
WQ1,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
WQ1,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
WQ1,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
WQ2,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,578,13,-999,-999,LIGHT,SB,RETR,Y,N_A
WQ2,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,447,16,-999,-999,LIGHT,SB,RETR,Y,N_A
WQ2,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,126,5,-999,-999,LIGHT,SB,RETR,Y,N_A
WQ3,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,646,9,-999,-999,LIGHT,SB,RETR,Y,N_A
WQ3,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,527,14,-999,-999,LIGHT,SB,RETR,Y,N_A
WQ3,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,87,10,-999,-999,LIGHT,SB,RETR,Y,N_A
WQ4,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,2,11,-999,-999,HEAVY,SB,RETR,N,N_A
WQ4,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,192,8,-999,-999,HEAVY,SB,RETR,N,N_A
WQ4,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,5,1,-999,-999,HEAVY,SB,RETR,N,N_A
WQ5,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,218,5,-999,-999,MODERATE,SB,RETR,Y,N_A
WQ5,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,718,13,-999,-999,MODERATE,SB,RETR,Y,N_A
WQ5,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,31,2,-999,-999,MODERATE,SB,RETR,Y,N_A
WQ6,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
WQ6,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
WQ6,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
WQ7,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,3,1,-999,-999,LIGHT,SB,RETR,N,N_A
WQ7,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,917,1,-999,-999,LIGHT,SB,RETR,N,N_A
WQ7,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
WQ8,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,5,1,-999,-999,LIGHT,SB,RETR,N,N_A
WQ8,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,931,3,-999,-999,LIGHT,SB,RETR,N,N_A
WQ8,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,19,1,-999,-999,LIGHT,SB,RETR,N,N_A
WQ9,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,TOP,506,9,-999,-999,LIGHT,SB,RETR,N,N_A
WQ9,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,BOTTOM,662,16,-999,-999,LIGHT,SB,RETR,N,N_A
WQ9,6/8/2018,7/9/2018,8/15/2018,JUNE,2018,SIDE,55,7,-999,-999,LIGHT,SB,RETR,N,N_A
WQ1,-999,-999,-999,N_A,-999,N_A,-999,-999,-999,-999,N_A,N_A,RMVD,N_A,N_A
WQ2,-999,-999,-999,N_A,-999,N_A,-999,-999,-999,-999,N_A,N_A,RMVD,N_A,N_A
WQ3,7/9/2018,8/6/2018,8/15/2018,JULY,2018,TOP,0,-999,-999,-999,HEAVY,SB,RETR,N,GOOSBARN
WQ3,7/9/2018,8/6/2018,8/15/2018,JULY,2018,BOTTOM,4,11,12,5,HEAVY,SB,RETR,N,GOOSBARN
WQ3,7/9/2018,8/6/2018,8/15/2018,JULY,2018,SIDE,0,-999,-999,-999,HEAVY,SB,RETR,N,GOOSBARN
